#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	269	Your company deploys resources in Azure. According to the shared responsibility model, which task will you be required to perform?	Install critical updates on virtual machines.	According to the shared responsibility model, you will install critical updates on virtual machines. The cloud shared responsibility model is a framework that delineates the roles and responsibilities of a cloud service provider (CSP) and its customers in managing data, applications, and infrastructure components stored in, or running on, the cloud. In the public cloud model, installing critical updates on a virtual machine would be managed by the customer.		Configure connectivity between regions. |&nbsp;Manage access to data center resources. |&nbsp;Upgrade RAM on virtualization systems.		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	270	You have completed the migration of your organization's core servers and processes to cloud-based virtual machines. Your final project involves migrating a weekly batch-processing task that relies on operating system drivers to print PDF reports.<br>You need to meet this requirement while minimizing costs.<br>What should you do?	Run the batch processing task using spot instances.	You should run the batch processing task using spot instances. Spot virtual machines or instances can help reduce costs by taking advantage of unutilized compute capacity. Most cloud service providers (C5Ps) offer this unused capacity at a significant discount, as it allows the provider to recover some of the costs associated with operating their infrastructure. Unlike a normal virtual machine, spot virtual machines do not offer guaranteed compute resources at a specified time. They are perfect for batch or other asynchronous processing that can occur on a flexible schedule. Microsoft offers this feature as Azure Spot Virtual Machines.		Execute the batch task on a dedicated virtual machine as needed. |&nbsp;Configure virtual machine clusters to scale for batch processing. |&nbsp;Migrate the batch processing to serverless compute.		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	271	Which setup represents a hybrid cloud model?	An Azure web Application Program Interface (API) that connects to an on-premises SQL Server database at an on-premises private datacenter			An Azure web application that connects to an Azure SQL Database |&nbsp;An Azure Web|ob that makes calls to the Azure Representational State Transfer Application Program Interface (API) |&nbsp;An Azure Function that crawls the web for trending news		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	272	What is the advantage of moving your company's infrastructure to Azure by using a public cloud deployment model?	The company is able to scale up as needed with no captial expenditure (CapEx) required.			There are no operational expenditure (OpEx) costs | The company has complete control of the resources that are used by the operating system | Legacy applications are easier to support		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	273	Which Azure feature enhances manageability and reliability by provisioning virtual machine instances based on workload?	Autoscale			Severless compute | Site Recovery | Availability Zones		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	274	Which Azure resource can be managed as Software-as-a-Service (Saas)?	Azure Internet-of-Things (IoT) Central			Azure SQL Database | API Management | Virtual Machine (VM)		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	275	__________ is the ablity to restore a cloud service in the wake of a catastrophic loss.	Disaster Recovery	<ul><li>Disaster recovery is the ability to store cloud service in the wake of catastrophic loss</li><li>Agility is the ability to react quickly with allocation and deallocation of cloud resources</li><li>High Availability is the ability to keep cloud resources and services functioning for long period of time</li></ul>		Agility | High Availablity (HA)		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	276	You need to deploy a serverless solution that meets the following requirements:<br><ul><li>Execution is triggered through an HTTP request</li><li>You pay only for the time that your code runs</li><li>You do not have to manage the application infrastructure</li></ul>Which Azure service should you use?	Azure Functions	Azure Functions is a serverless platform that let you execute your code when needed and pay for the actual runtime only, without worrying about configuration or management of the underlying physical and application infrastructure		Azure SQL Database | Asure Database for PostgreSQL | Azure Virtual Machine		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	277	What type of cloud service is Azure Cosmos DB?	PaaS			IaaS | SaaS		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	278	What type of cloud service is Azure Storage?	IaaS			PaaS | SaaS		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	279	What type of cloud service is Microsoft Office 365?	SaaS			IaaS | PaaS		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	280	With _______, developers deploy code and pay for its runtime only, without worrying about the provisioning, configuration and management of the underlying infrastructure	severless computing			IaaS | SaaS		azure-part-1
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	281	Manually increasing or decreasing resources to meet a predictable workload is considered?	Scalability	<ul><li>Scalability is the benefit of cloud computing that allows increasing or decreasing resources to meet a predictable workload</li><li>Scaling can be horizontal (scaling out) or vertical (scalling up)</li></ul>		Agility | Elasticity | High Availability		azure-part-1
